Thu Apr  4 11:31:06 2019 [info] set name dsf

Fri Apr  5 23:31:11 2019 [info] set name luo

Fri Apr  5 23:31:13 2019 [info] get aname

Fri Apr  5 23:31:15 2019 [info] get name

Fri Apr  5 23:31:27 2019 [info] 
Fri Apr  5 23:35:23 2019 [info] set name luopdf

Fri Apr  5 23:35:25 2019 [info] get name

Sat Apr  6 00:03:26 2019 [info] set name sdfsdf

Sat Apr  6 00:03:28 2019 [info] get name

Sat Apr  6 00:05:25 2019 [info] 
